ID,Year,UA,obesity,popCount,10301,"Violent crime - violence offences per 1,000 population",22401,90356,90360,90637,92309,92310,92899,92924,93111,93350,93351
121,2011,EM23,167,870,4.51758701,6.401197296,1954.835437,13.82549026,12.59848038,0.29703173,18.96165649,18.26270781,22.74526841,9.977729337,5.554810451,22.49591933,382.3844558
122,2012,EM23,165,880,5.028372518,6.242656873,1868.413773,11.82207166,11.12726997,0.393502084,18.91851446,18.93776641,25.03592355,9.704147345,5.160148902,18.73330392,418.3006581
123,2013,EM23,165,923,4.343329421,6.474617542,2204.769921,9.590242958,6.048848904,0.553933034,18.87075538,19.44178543,22.84486211,10.23626937,5.291702752,25.13991934,410.419047
124,2014,EM23,152,911,4.127602807,8.129070448,2161.419318,9.011351478,31.23528708,0.867633421,18.92244112,19.8264911,24.63754874,10.0312343,5.160148902,32.46176553,447.7652462
125,2011,EM24,82,449,4.959354247,8.18373695,1457.07821,13.06671535,-12.07453344,0.417108648,20.17052146,18.24588213,14.08061635,8.866239399,6.931066108,11.30976542,332.0352611
126,2012,EM24,72,463,5.091733913,8.254333494,1569.918163,12.10881092,14.68272694,0.688354318,20.19647036,19.0224843,14.57858485,8.916917687,7.1536957,9.275919257,343.1426792
127,2014,EM24,74,493,4.237218971,8.498595388,1253.675784,10.85919932,26.2609126,0.994270134,19.80120999,20.29403133,16.9688337,9.30336487,7.173934754,18.12315007,341.9454724
128,2015,EM24,89,488,4.268978484,7.628756971,1659.30094,12.63246619,-0.397263307,0.9145713,19.68801756,20.78464307,15.74051138,9.289029577,7.082859012,25.13991934,349.2284801
129,2016,EM24,68,489,4.217846086,11.40812189,1392.103061,10.84025151,39.76891819,0.972856798,19.55214687,21.33894825,14.44579325,9.602487911,7.528118195,15.88591929,369.3482046
130,2017,EM24,101,546,4.406634334,14.41223246,1735.552823,8.178649742,21.51531175,1.341998284,19.38181393,21.93786111,17.96477072,8.889761393,7.538237722,13.03853466,402.1716228
131,2011,EM25,134,906,5.084791769,8.71751702,2055.213589,14.33930431,15.14615389,0.558460344,20.25054992,17.21437203,20.55420697,7.801894402,5.838157204,18.73330392,411.449975
132,2012,EM25,134,874,5.326036335,8.195076008,2209.443091,13.08998831,28.12024744,0.569982313,20.06370582,17.92579695,18.46273923,7.245240858,5.969711053,20.66545778,399.2451174
133,2013,EM25,127,884,4.29083551,7.385469918,1898.530959,10.31978114,20.43212833,0.623015992,19.76300569,18.55094638,18.96070774,7.710027386,5.828037677,27.78391935,394.4562904
134,2014,EM25,142,890,4.42506408,7.537205554,2414.951217,10.39358996,27.46515187,1.035871601,19.51106751,19.17073973,21.35095658,7.395660477,5.858396258,27.98730397,372.6072674
135,2015,EM25,158,944,4.343528755,9.553406453,2501.237473,12.24215379,27.38440821,1.185337409,19.23132971,19.62897583,19.65786365,6.800241071,6.536404559,25.54668857,391.5962965
136,2016,EM25,152,926,4.489970528,9.726391874,2169.436174,10.44594014,11.09589659,1.411431281,18.98967631,20.05947765,20.42141536,7.47137505,6.910827054,26.46191935,404.8985937
137,2017,EM25,178,1035,4.564381353,8.616043798,2286.282989,8.375805429,36.70942354,1.72166972,18.76697381,20.36080374,15.27574077,6.216935998,6.536404559,21.98745779,410.8846274
138,2012,EM26,135,721,5.567623818,10.83375686,1601.932562,11.67006378,26.68487488,1.056738572,22.16349567,17.18969663,27.32657869,9.834982128,5.747081462,15.07238083,360.2028753
139,2013,EM26,148,776,4.503265989,9.033739921,1773.946835,9.99559149,-10.35792121,0.541881113,22.37611651,17.78719437,19.15989514,10.29986961,5.959591526,11.81822696,358.174275
140,2014,EM26,142,787,4.804882988,14.48868541,2156.474448,9.532994226,26.08806612,1.300530341,22.40715774,18.19388101,17.86517702,9.870517501,6.242938279,10.49622696,360.0033408
141,2015,EM26,171,841,4.675729679,17.25180443,2019.801966,12.54819087,25.89706658,1.797703398,22.38557463,18.54108594,19.25948884,9.789755289,6.576882667,9.174226949,363.3289151
142,2016,EM26,185,821,4.831587535,19.82374877,2469.494204,10.93882936,0.604797025,1.881566969,22.57299038,18.67554989,20.48781116,9.931997735,7.194173807,12.3266885,371.4765721
143,2017,EM26,105,639,4.922252963,22.65657785,2581.954038,8.474383272,15.50638981,2.282198874,22.55173544,18.72810491,23.84079913,9.647815702,8.317441292,14.66561159,375.1347038
144,2011,EM27,94,539,5.111387893,8.16111233,1237.818367,12.7871371,16.60676334,0.448709676,19.79397483,19.26623442,17.66598961,9.74412464,5.888754838,25.44499626,378.4270224
